id,name,year,tmdb_id
8020853b-01e9-4b8b-81d5-3b20c4a867ef,Before the sunraise,1995,
3c350365-924a-4981-87bd-f25922470053,Dumb and Dumber,1994,8467
61689345-fd82-4bfe-a25e-6fb0a339f7fc,Sully,2016,
e40f8012-e87d-4992-873d-78979c31c891,The Little Things,2021,602269
e755407f-4818-427a-a46e-cfc924a6746b,The Way Back,2020,529485
80fe22bf-9c18-4dd0-a467-36f937845580,Titanic,1997,
16cb49c3-519e-48a9-9825-b4ca9e31cfa6,The Secret Life of Walter Mitty,2013,
1a1f5d49-23b8-4c22-9184-e5e8c0970769,The Terminal,2004,
c3c269e2-2cda-47de-aa68-6251fa4f1bc9,The Silence of the Lambs,1991,
b4fbd4ad-0d89-4bb6-8b36-dead3bdcf5b2,Top Gun,1986,
192aa147-2af0-4f38-9213-efbb6be463f2,The Sixth Sense,1999,
bc542158-4e6b-4d3b-8561-79ff88a718eb,Dunkirk,2017,
fe741e2c-f792-40ec-bd5f-39b22a0fef65,Hacksaw Ridge,2016,
96867b01-a6b4-4bba-819e-67f2671fa243,Memento,2000,
be5fbd7c-2e76-429a-b510-8ee6a6c34770,"Good Night, and Good Luck.",2005,
7862c4c3-0f13-41a3-8d4d-f4d04f3dbde0,American Pie,1999,
ac3c7b97-03e5-494b-baef-415718fbbab2,Speed,1994,
0f6509e0-3eb6-4c4a-8210-339e2f0ef967,Scent of a Woman,1992,
d87929eb-e222-48cf-86fc-1af92fd5312a,Hereditary,2018,
96bb4bb4-bf5c-4693-853c-b7cece9b06d8,The Blair Witch Project,1999,
ceb8b9dc-58f7-4559-8b23-c0dc1c9bcbb1,Die Hard,1988,
721fc982-dbf8-4f4b-ac22-f5b26c6728c0,The Fourth Kind,2009,
fda15742-16c9-4bc2-bd20-e75dde584047,Dead Poets Society,1989,
57742686-ed65-4496-886a-52e502bf9195,Lost in Translation,2003,
1fb9d954-30df-45f5-82c1-8f176c9aa687,Minority Report,2002,
ba95b0a9-8d08-4332-8ce3-243f9403c021,L.A. Confidential,1997,
43dbc399-156d-45e9-b436-df85447936ba,Brothers,2009,
30c06c06-603a-461c-a6dd-caea644b135d,Parasite,2019,
7071f77f-4b9f-419b-8dd5-0f35c78e5d1e,Full Metal Jacket,1987,
ee45b225-1d8f-477b-b995-6394ef0e8a61,Superman,1978,
ee7da405-d27f-48df-85ca-361f7b1eb435,Shutter Island,2010,
bd84a683-26f3-4eb4-bb00-9d0c3a239675,The Gentlemen,2019,
de255c6e-59fd-4e12-a1a4-ed3558cfd134,The Hitchhiker's Guide to the Galaxy,2005,
a4d2fcb9-886e-4787-b75d-5857be23c19f,Gran Torino,2008,
24b8f9f8-c961-4e39-b9fa-8acf3786157c,Ted 2,2015,
db81412c-ca02-4f5b-8222-acd5abf15eed,Saving Private Ryan,1998,
7bdc34d4-37cb-4f67-b8ac-579774fdf01a,Ted,2012,
c8996a12-0897-4526-9177-62c8c6566634,Signs,2002,
e6b4019a-03d9-4829-9c4a-c74eefa7de9b,The Last Duel,2021,
57c9adce-463c-458a-8174-a3ba307d1f20,The Conjuring,2013,
fe35dbf6-1d68-4ee7-b9fc-f9be1268ae41,The Bone Collector,1999,
3486bf1b-f770-4139-b026-160dd8d30e12,Kiss the Girls,1997,
143d68cf-4246-4e5d-b073-76d0d9d065fa,Inglourious Basterds,2009,
c562aab6-b272-4ea9-8733-11625edfb988,I Am Legend,2007,
5feb220d-53c4-44cd-ba67-1f3da4cf815d,Reservoir Dogs,1992,
0afba225-aba7-47b2-8bbb-8789a136bb41,American Wedding,2003,
f1f617d9-66bf-4a46-a651-157df20f39a6,American Psycho,2000,
81bf9432-7cff-4ada-ae69-c9e52379fed8,In the Name of the Father,1993,
8904e2b0-ee1a-4c92-95e3-520c31783af1,In the Line of Fire,1993,
7a2dac5b-8b86-492e-ba94-4caa2807d0fe,Brothers,2009,
2616da66-8086-4f84-ae53-9e15ab4e5d8a,Eternal Sunshine of the Spotless Mind,2004,
e4486877-8ee4-4905-9a9f-76d7ec4fa09f,American Pie 2,2001,
7de2e2c3-1622-44c9-9ef3-1d6dba2c0f50,Her,2013,
8e71298c-c2c4-4a75-9c58-b74e3c69abb1,Fracture,2007,
6ab46d9f-61de-43b7-a5a0-cd7059b0b5c2,Legend,2015,
44ba0926-ae23-48ca-908e-91fab40afdab,Citizen Kane,1941,
90384e3b-350d-4bba-a8d4-48bb6a990771,Pulp Fiction,1994,
5d7ed042-a4bd-4f37-8831-e7c7a0685586,21,2008,
c20a4031-e9e8-4401-b170-d0733d800c66,Inside Men,2015,
d2527f4a-f1b3-4ee8-b96c-f6e652ae10c7,Las dos caras de la verdad,,
b7db685d-e0ff-4a6a-8bd8-dc2eb50fddc3,Batman,1989,
